DateTimePhoto,Code_exp,Code_Lieu,Phone,TypeNetwork_Fixed,aim_x_dd,aim_y_dd,aim.x,aim.y,point_x_dd,point_y_dd,point.x,point.y,distance_s12,distance_lon_UMT,distance_lat_UMT
2019:12:21 14:51:11,N13S8,VREV,Standard,4G,47.10425,6.803947222,333363.96217,5219189.6146,47.104444,6.803889,333360.15012,5219211.2972,22.015692418,3.812058945,21.682601027
2019:12:21 15:16:04,N13E9,CRET,Experimental,2G,47.10624444,6.812616667,334027.97658,5219392.806,47.098611,6.830556,335365.57067,5218506.5975,1604.565715,1337.5940972,886.20846224
2019:12:21 15:16:50,N13S9,CRET,Standard,4G,47.10624444,6.812616667,334027.97658,5219392.806,47.106944,6.826389,335075.10473,5219441.3966,1048.2724476,1047.1281556,48.5906393
2019:12:21 15:52:45,N13E10,GACH,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:21 15:53:44,N13S10,GACH,Standard,4G,47.09890278,6.825008333,334945.48683,5218550.7191,47.098889,6.824722,334923.71591,5218549.7923,21.791043111,21.770927995,0.92678057961
2019:12:28 10:22:12,N14E1,HGGA,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 10:22:27,N14S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.049167,6.875,338588.93261,5212919.4477,153.71524005,19.975244782,152.40470261
2019:12:28 10:53:06,N14E2,SGAF,Experimental,2G,47.05589444,6.879594444,338958.16773,5213657.5722,47.046944,6.875556,338624.45674,5212671.2685,1041.2767645,333.71098594,986.30371405
2019:12:28 10:53:42,N14S2,SGAF,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 11:16:22,N14E3,FAFO,Experimental,2G,47.05625,6.883172222,339230.9553,5213689.726,47.046389,6.886389,339445.65329,5212587.3094,1123.1828473,214.69799168,1102.4165309
2019:12:28 11:16:49,N14S3,FAFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 11:46:55,N14E4,JGAZ,Experimental,2G,47.05073611,6.886836111,339492.6622,5213069.468,47.046944,6.875556,338624.45674,5212671.2685,955.20239187,868.2054614,398.1994715
2019:12:28 11:47:27,N14S4,JGAZ,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 12:26:16,N14E5,ARVR,Experimental,2G,47.03736944,6.874911111,338546.57738,5211608.6202,47.046389,6.886389,339445.65329,5212587.3094,1329.029194,899.07590827,978.68925055
2019:12:28 12:26:48,N14S5,ARVR,Standard,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.037778,6.875278,338575.6835,5211653.2648,53.296787012,29.106117522,44.644603394
2019:12:28 13:17:00,N14E6,BOUD,Experimental,2G,47.02778333,6.887863889,339501.88393,5210516.7188,47.030278,6.8825,339101.80276,5210804.9525,493.1156055,400.08116726,288.23369736
2019:12:28 13:17:41,N14S6,BOUD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 13:53:02,N14E7,FRBD,Experimental,2G,47.01961111,6.904538889,340744.64229,5209574.5209,47.018889,6.905,340777.53819,5209493.3382,87.59892855,32.895907957,81.182661953
2019:12:28 13:53:40,N14S7,FRBD,Standard,4G,47.01961111,6.904538889,340744.64229,5209574.5209,47.021667,6.894444,339983.59819,5209823.568,800.79029529,761.04409279,249.04712424
2019:12:28 14:17:20,N14E8,FFBO,Experimental,2G,47.01455556,6.908419444,341024.54613,5209004.8343,47.018889,6.905,340777.53819,5209493.3382,547.43064845,247.00793498,488.50391338
2019:12:28 14:18:17,N14S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.015556,6.906667,340894.32432,5209119.5684,173.56414212,130.22181274,114.73412668
2019:12:28 14:41:45,N14E9,CRFO,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 14:42:37,N14S9,CRFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 15:03:46,N14E10,CRCH,Experimental,2G,47.007325,6.903783333,340650.66576,5208210.7613,47.012778,6.9025,340569.3467,5208819.3394,614.02005859,81.319054896,608.57808699
2019:12:28 15:04:27,N14S10,CRCH,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 15:51:35,N14E11,SPON,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 15:52:09,N14S11,SPON,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 16:13:58,N14E12,GORG,Experimental,2G,46.98966944,6.911566667,341189.99387,5206232.9763,46.992222,6.910833,341141.77207,5206518.1171,289.2057435,48.221800307,285.14081409
2019:12:28 16:15:00,N14S12,GORG,Standard,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991944,6.912778,341288.84018,5206483.2811,269.13020171,98.846313099,250.30481286
2019:12:31 09:55:23,N15E1,HGGA,Experimental,3G,47.04779167,6.874791667,338568.95736,5212767.043,47.05,6.880833,339034.48938,5212999.9992,520.58481054,465.5320196,232.95625848
2019:12:31 09:56:17,N15S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.049167,6.875278,338610.04829,5212918.8743,157.30048723,41.090928392,151.83126289
2019:12:31 10:22:27,N15E2,SGAF,Experimental,3G,47.05589444,6.879594444,338958.16773,5213657.5722,47.050556,6.890278,339753.54608,5213042.3983,1005.5583485,795.37835327,615.17391064
2019:12:31 10:23:12,N15S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.045833,6.880278,338979.78995,5212538.0803,1119.7539672,21.622219219,1119.4918738
2019:12:31 10:42:54,N15E3,FAFO,Experimental,3G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:31 10:44:34,N15S3,FAFO,Standard,4G,47.05625,6.883172222,339230.9553,5213689.726,47.055833,6.884444,339326.28825,5213640.7739,107.17065994,95.332949323,48.952065011
2019:12:31 11:11:35,N15E4,JGAZ,Experimental,3G,47.05073611,6.886836111,339492.6622,5213069.468,47.050556,6.890278,339753.54608,5213042.3983,262.29422198,260.88387781,27.069668088
2019:12:31 11:13:23,N15S4,JGAZ,Standard,4G,47.05073611,6.886836111,339492.6622,5213069.468,47.046667,6.883333,339214.3562,5212624.4773,524.87729514,278.30600542,444.99071948
2019:12:31 11:50:12,N15E5,ARVR,Experimental,3G,47.03736944,6.874911111,338546.57738,5211608.6202,47.050556,6.890278,339753.54608,5213042.3983,1874.2456269,1206.9687004,1433.7781341
2019:12:31 11:51:09,N15S5,ARVR,Standard,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.0375,6.874722,338532.60416,5211623.5189,20.426818885,13.973216885,14.898700923
2019:12:31 12:34:27,N15S6,BOUD,Standard,4G,47.02778333,6.887863889,339501.88393,5210516.7188,47.027778,6.887778,339495.34157,5210516.3026,6.5558201905,6.5423564735,0.41618133616
2019:12:31 12:38:32,N15E6,BOUD,Experimental,3G,47.02778333,6.887863889,339501.88393,5210516.7188,47.025278,6.884167,339213.44591,5210245.9002,395.66721683,288.43802099,270.81867137
2019:12:31 13:08:27,N15E7,FRBD,Experimental,3G,47.01961111,6.904538889,340744.64229,5209574.5209,47.016667,6.905278,340792.05881,5209245.8524,332.08928678,47.416520485,328.66849442
2019:12:31 13:09:14,N15S7,FRBD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:31 13:31:58,N15E8,FFBO,Experimental,3G,47.01455556,6.908419444,341024.54613,5209004.8343,47.016667,6.905278,340792.05881,5209245.8524,334.88946646,232.48732246,241.01808092
2019:12:31 13:32:34,N15S8,FFBO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:31 14:03:38,N15E9,CRFO,Experimental,3G,47.01142222,6.906258333,340850.9791,5208661.0317,47.0125,6.903056,340610.77944,5208787.3145,271.38478404,240.199663,126.28284623
2019:12:31 14:04:13,N15S9,CRFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:31 14:24:29,N15E10,CRCH,Experimental,3G,47.007325,6.903783333,340650.66576,5208210.7613,47.0125,6.903056,340610.77944,5208787.3145,577.9625167,39.886319097,576.55322619
2019:12:31 14:25:17,N15S10,CRCH,Standard,4G,47.007325,6.903783333,340650.66576,5208210.7613,47.014722,6.902222,340554.00511,5209035.933,830.85852148,96.660647178,825.17167788
2019:12:31 15:02:48,N15E11,SPON,Experimental,3G,46.99013056,6.908894444,340988.16524,5206289.64,46.991389,6.911111,341160.44133,5206424.9863,219.09422115,172.27608408,135.34627193
2019:12:31 15:03:19,N15S11,SPON,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:31 15:21:23,N15E12,GORG,Experimental,3G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991389,6.911111,341160.44133,5206424.9863,194.281721,29.552539842,192.00992951
2019:12:31 15:22:03,N15S12a,GORG,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:31 15:28:24,N15S12b,GORG,Standard,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.989722,6.911667,341197.77896,5206238.6136,9.6122622007,7.7850932452,5.6372894011
2020:01:01 09:54:47,N16E1,HGGA,Experimental,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.046944,6.883056,339194.14827,5212655.8283,635.02760172,625.19090971,111.21470738
2020:01:01 09:55:55,N16S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.048611,6.875278,338608.37048,5212857.0884,98.297606149,39.41312331,90.045377291
2020:01:01 10:25:57,N16E2a,SGAF,Experimental,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.043056,6.894444,340047.54236,5212200.4315,1819.4206718,1089.3746311,1457.140685
2020:01:01 10:26:39,N16E2b,SGAF,Experimental,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:01 10:27:14,N16S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.045833,6.880278,338979.78995,5212538.0803,1119.7539672,21.622219219,1119.4918738
2020:01:01 10:44:38,N16E3a,FAFO,Experimental,4G,47.05625,6.883172222,339230.9553,5213689.726,47.053333,6.882778,339192.24365,5213366.3821,325.66876709,38.711641529,323.34389139
2020:01:01 10:44:52,N16E3b,FAFO,Experimental,4G,47.05625,6.883172222,339230.9553,5213689.726,47.052778,6.880833,339042.85078,5213308.7066,424.94192731,188.10451751,381.01932945
2020:01:01 10:45:21,N16S3,FAFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:01 11:16:55,N16E4,JGAZ,Experimental,4G,47.05073611,6.886836111,339492.6622,5213069.468,47.040556,6.897222,340251.10637,5211916.9428,1379.7572944,758.44416599,1152.5251582
2020:01:01 11:17:52,N16S4,JGAZ,Standard,4G,47.05073611,6.886836111,339492.6622,5213069.468,47.050556,6.886944,339500.31621,5213049.2318,21.636348669,7.6540126897,20.236178259
2020:01:01 11:57:07,N16E5,ARVR,Experimental,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.023889,6.862222,337541.63767,5210136.858,1782.2015258,1004.9397044,1471.7621571
2020:01:01 11:57:37,N16S5a,ARVR,Standard,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.037778,6.875278,338575.6835,5211653.2648,53.296787012,29.106117522,44.644603394
2020:01:01 11:58:20,N16S5b,ARVR,Standard,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.0375,6.875,338553.72446,5211622.9453,16.009795249,7.1470763091,14.325169656
2020:01:01 12:38:07,N16E6,BOUD,Experimental,4G,47.02778333,6.887863889,339501.88393,5210516.7188,47.026111,6.885,339279.24653,5210336.7569,286.28751753,222.63739188,179.96196788
2020:01:01 12:38:39,N16S6,BOUD,Standard,4G,47.02778333,6.887863889,339501.88393,5210516.7188,47.027778,6.887778,339495.34157,5210516.3026,6.5558201905,6.5423564735,0.41618133616
2020:01:01 13:16:03,N16E7,FRBD,Experimental,4G,47.01961111,6.904538889,340744.64229,5209574.5209,47.017222,6.901667,340519.26877,5209314.8766,343.83121767,225.37351497,259.64425002
2020:01:01 13:16:33,N16S7,FRBD,Standard,4G,47.01961111,6.904538889,340744.64229,5209574.5209,47.017222,6.901667,340519.26877,5209314.8766,343.83121767,225.37351497,259.64425002
2020:01:01 13:34:42,N16E8,FFBO,Experimental,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.017778,6.903611,340668.66964,5209372.704,511.86078483,355.87649191,367.86967108
2020:01:01 13:35:11,N16S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.017778,6.903611,340668.66964,5209372.704,511.86078483,355.87649191,367.86967108
2020:01:01 13:56:41,N16E9a,CRFO,Experimental,4G,47.01142222,6.906258333,340850.9791,5208661.0317,47.010833,6.903889,340669.13444,5208600.3733,191.7030881,181.84465955,60.65835024
2020:01:01 13:57:12,N16E9b,CRFO,Experimental,4G,47.01142222,6.906258333,340850.9791,5208661.0317,47.026111,6.885,339279.24653,5210336.7569,2297.5807738,1571.732565,1675.7251684
2020:01:01 13:57:42,N16S9,CRFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:01 14:14:22,N16E10,CRCH,Experimental,4G,47.007325,6.903783333,340650.66576,5208210.7613,47.010833,6.903889,340669.13444,5208600.3733,390.07070292,18.468684346,389.61202972
2020:01:01 14:14:52,N16S10,CRCH,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:01 14:50:17,N16E11,SPON,Experimental,4G,46.99013056,6.908894444,340988.16524,5206289.64,46.991389,6.911389,341181.57987,5206424.4225,235.75581918,193.41462192,134.78250621
2020:01:01 14:50:49,N16S11,SPON,Standard,4G,46.99013056,6.908894444,340988.16524,5206289.64,46.989722,6.909167,341007.67828,5206243.6855,49.92834728,19.51304152,45.954488847
2020:01:01 15:22:12,N16E12,GORG,Experimental,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991389,6.911389,341181.57987,5206424.4225,191.64176437,8.4140020078,191.44616379
2020:01:01 15:22:51,N16S12,GORG,Standard,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991944,6.912778,341288.84018,5206483.2811,269.13020171,98.846313099,250.30481286
2020:01:11 11:26:52,N17E1,HGGA,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 11:28:00,N17S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.048889,6.875278,338609.20938,5212887.9813,127.46672195,40.252023939,120.93831944
2020:01:11 11:53:56,N17E2,SGAF,Experimental,2G,47.05589444,6.879594444,338958.16773,5213657.5722,47.049444,6.879167,338906.27438,5212941.642,717.84254888,51.893346255,715.93023199
2020:01:11 11:54:41,N17S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.055556,6.879444,338945.72269,5213620.2725,39.322940946,12.445040939,37.299745635
2020:01:11 12:19:37,N17E3,FAFO,Experimental,2G,47.05625,6.883172222,339230.9553,5213689.726,47.053333,6.895556,340162.7305,5213340.1989,995.21391994,931.77520032,349.52707138
2020:01:11 12:20:17,N17S3,FAFO,Standard,4G,47.05625,6.883172222,339230.9553,5213689.726,47.053333,6.882778,339192.24365,5213366.3821,325.66876709,38.711641529,323.34389139
2020:01:11 12:48:03,N17E4,JGAZ,Experimental,2G,47.05073611,6.886836111,339492.6622,5213069.468,47.046389,6.886389,339445.65329,5212587.3094,484.4687437,47.008914361,482.15855165
2020:01:11 12:48:29,N17S4,JGAZ,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 13:34:45,N17E5,ARVR,Experimental,2G,47.03736944,6.874911111,338546.57738,5211608.6202,47.030278,6.882778,339122.92591,5210804.3811,989.47506056,576.34853385,804.23908764
2020:01:11 13:35:17,N17S5,ARVR,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 14:15:30,N17E6,BOUD,Experimental,2G,47.02778333,6.887863889,339501.88393,5210516.7188,47.030278,6.882778,339122.92591,5210804.3811,475.79088548,378.95801352,287.66225683
2020:01:11 14:15:57,N17S6,BOUD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 14:52:22,N17S7,FRBD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 14:54:38,N17E7,FRBD,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 15:15:07,N17E8,FFBO,Experimental,2G,47.01455556,6.908419444,341024.54613,5209004.8343,47.018889,6.905,340777.53819,5209493.3382,547.43064845,247.00793498,488.50391338
2020:01:11 15:15:42,N17S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.017222,6.904167,340709.27174,5209309.7869,438.64842757,315.27439154,304.95256453
2020:01:11 15:35:52,N17E9,CRFO,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 15:36:25,N17S9,CRFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 15:55:53,N17E10,CRCH,Experimental,2G,47.007325,6.903783333,340650.66576,5208210.7613,47.012778,6.9025,340569.3467,5208819.3394,614.02005859,81.319054896,608.57808699
2020:01:11 15:56:26,N17S10,CRCH,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 16:33:01,N17E11,SPON,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 16:33:30,N17S11,SPON,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 16:51:59,N17E12,GORG,Experimental,2G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991667,6.911389,341182.40372,5206455.3152,222.4809379,7.5901447793,222.33888612
2020:01:11 16:52:26,N17S12,GORG,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 10:22:27,N18E1,HGGA,Experimental,3G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 10:23:31,N18S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.048611,6.875278,338608.37048,5212857.0884,98.297606149,39.41312331,90.045377291
2020:01:12 10:52:02,N18E2,SGAF,Experimental,3G,47.05589444,6.879594444,338958.16773,5213657.5722,47.05,6.880833,339034.48938,5212999.9992,662.01873695,76.321653969,657.5729653
2020:01:12 10:52:34,N18S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.045556,6.879167,338894.56357,5212509.5853,1149.8021169,63.604152079,1147.9869139
2020:01:12 11:14:10,N18E3,FAFO,Experimental,3G,47.05625,6.883172222,339230.9553,5213689.726,47.053611,6.881111,339066.472,5213400.7026,332.56476363,164.48329472,289.02340053
2020:01:12 11:14:44,N18S3,FAFO,Standard,4G,47.05625,6.883172222,339230.9553,5213689.726,47.055833,6.884167,339305.25113,5213641.3428,88.664637287,74.295837352,48.383164288
2020:01:12 11:48:59,N18S4,JGAZ,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 11:50:58,N18E4,JGAZ,Experimental,3G,47.05073611,6.886836111,339492.6622,5213069.468,47.050556,6.890278,339753.54608,5213042.3983,262.29422198,260.88387781,27.069668088
2020:01:12 12:36:57,N18E5,ARVR,Experimental,3G,47.03736944,6.874911111,338546.57738,5211608.6202,47.050556,6.890278,339753.54608,5213042.3983,1874.2456269,1206.9687004,1433.7781341
2020:01:12 12:37:28,N18S5,ARVR,Standard,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.031389,6.875833,338598.57779,5210942.1396,668.53677228,52.000406168,666.48054915
2020:01:12 13:35:59,N18E6,BOUD,Experimental,3G,47.02778333,6.887863889,339501.88393,5210516.7188,47.025278,6.884167,339213.44591,5210245.9002,395.66721683,288.43802099,270.81867137
2020:01:12 13:36:58,N18S6,BOUD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 14:13:52,N18S7,FRBD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 14:18:13,N18E7,FRBD,Experimental,3G,47.01961111,6.904538889,340744.64229,5209574.5209,47.020556,6.899722,340381.38654,5209689.3324,380.98362692,363.2557461,114.81156082
2020:01:12 14:37:36,N18E8,FFBO,Experimental,3G,47.01455556,6.908419444,341024.54613,5209004.8343,47.016667,6.905278,340792.05881,5209245.8524,334.88946646,232.48732246,241.01808092
2020:01:12 14:38:09,N18S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.015556,6.907222,340936.5063,5209118.4407,143.73411053,88.039833125,113.60636702
2020:01:12 14:58:45,N18E9,CRFO,Experimental,3G,47.01142222,6.906258333,340850.9791,5208661.0317,47.0125,6.903056,340610.77944,5208787.3145,271.38478404,240.199663,126.28284623
2020:01:12 14:59:47,N18S9,CRFO,Standard,4G,47.01142222,6.906258333,340850.9791,5208661.0317,47.011389,6.906111,340839.68167,5208657.6396,11.796190324,11.297427505,3.3920872239
